LBP_delta,Std_delta,Var_delta,Kur_delta,SE_delta,LBP_theta,Std_theta,Var_theta,Kur_theta,SE_theta,LBP_alpha,Std_alpha,Var_alpha,Kur_alpha,SE_alpha,LBP_beta,Std_beta,Var_beta,Kur_beta,SE_beta,LBP_gamma,Std_gamma,Var_gamma,Kur_gamma,SE_gamma
-17.94018325950437,0.00012715619105605147,1.6168696923883062e-08,3.090976817735253,-0.0004364268299383643,-22.393752034097467,1.3715650087940532e-05,1.8811905733482315e-10,2.9317598206227915,-6.397397276072556e-06,-23.79367190082687,6.811923876040706e-06,4.640230689297343e-11,3.1213726888755233,-3.3461685376850984e-06,-27.52393532865592,1.0550021874058752e-06,1.1130296154311813e-12,3.241381266302563,-1.8629591754359243e-07,-33.04952800730462,6.65864985242279e-08,4.4337617857170045e-15,3.2459566149755794,-1.790064267436952e-09
-17.902774927987018,0.000129556408756606,1.6784863049908773e-08,3.0052543554897677,-0.00045238756204619025,-22.597394736777034,1.2389045849355924e-05,1.5348845705744326e-10,3.068219138711711,-5.262174732694185e-06,-24.211390854247078,5.5279393488589525e-06,3.055811344466314e-11,2.9895834480331254,-2.2473052005005176e-06,-28.04303593024888,8.138270426266119e-07,6.623144553103771e-13,3.2249358624423046,-1.1312665931354855e-07,-33.58803787944101,5.086865378974161e-08,2.587619938380594e-15,3.2199179153095967,-1.0627849106459396e-09
-17.956899852272265,0.00012609783540666605,1.5900664094246643e-08,3.0523351724657535,-0.0004296892193039833,-22.52469801293417,1.2847345336938215e-05,1.650542822065481e-10,3.066387613339462,-5.644491546193936e-06,-24.004915097004393,6.129131192158157e-06,3.756624917068607e-11,3.0745447739155076,-2.7359915012424294e-06,-27.778356997194557,9.289801039265478e-07,8.630040334913796e-13,3.051773095664281,-1.45983527670892e-07,-33.3162869065503,5.827203958731397e-08,3.395630597665486e-15,3.032134416309691,-1.3833557618518593e-09
-17.87478073793484,0.00013138258496994082,1.7261383633383724e-08,3.061872902218792,-0.00046393419507215975,-22.47206302343846,1.3188300451603136e-05,1.7393126880175548e-10,4.477755216722723,-5.905113485456775e-06,-24.10922364456647,5.8176635708309385e-06,3.384520942337339e-11,3.116094693388655,-2.477595513191311e-06,-27.876140195425613,8.84653229374718e-07,7.826113362431173e-13,3.328113333471613,-1.328056444782127e-07,-33.4114064165618,5.5565506628384856e-08,3.0875255268690816e-15,3.309428060104271,-1.2608534406901787e-09
-17.953812836660784,0.0001262908454154862,1.5949377635758228e-08,2.9568617351607815,-0.0004316360811412579,-22.867803631351045,1.0822265142952857e-05,1.171214228243724e-10,3.1303822938958934,-4.0644866468244145e-06,-24.46307671946553,4.874278987669562e-06,2.3758595649637006e-11,2.9590081840416045,-1.7656888347251485e-06,-28.160248962704838,7.675021601476954e-07,5.890595658313786e-13,3.1645056399258675,-1.0100126234954553e-07,-33.687831723874645,4.8392747917573485e-08,2.3418580510138126e-15,3.1408639159388683,-9.64475457278371e-10
-17.95676296340351,0.00012610587275107933,1.5902691142311413e-08,3.012207219175471,-0.00042978630126779503,-22.84360688618375,1.0953999295408213e-05,1.1999010056380364e-10,3.3403189723689843,-4.157050916755525e-06,-24.49591563290546,4.794899461479554e-06,2.2991060845696912e-11,3.1555247444856955,-1.7090603641274108e-06,-28.328228517326732,7.05672730462171e-07,4.979740025179358e-13,3.6065457716750493,-8.577767803498308e-08,-33.875128446269215,4.406657724348215e-08,1.9418632299557786e-15,3.6761348318131257,-8.034302035803295e-10
-17.942783720199476,0.0001269904984366807,1.6126586693196607e-08,3.0030801004020846,-0.0004357153435558828,-22.359544118287218,1.3953403396692046e-05,1.9469746635081713e-10,3.555465699726124,-6.587140205084349e-06,-24.083859193045058,5.891914321753396e-06,3.471465437488278e-11,3.612939536300153,-2.535321883150644e-06,-27.863989988719997,8.900439109251156e-07,7.921781633748752e-13,4.482110671881397,-1.33890147092917e-07,-33.40787520960426,5.566370000329548e-08,3.098447498056877e-15,4.512254944194319,-1.2613601917139436e-09
-17.957522035087166,0.00012605843031050217,1.5890727852347734e-08,2.9656007618901703,-0.0004297264174468793,-22.442785864508895,1.3384770575930234e-05,1.7915208337028778e-10,3.1708909970894847,-6.100104772265021e-06,-24.194115675199782,5.575894235329428e-06,3.1090596523579945e-11,3.1934074920419615,-2.2828843724092345e-06,-28.05024949975659,8.108970108928873e-07,6.575539622750193e-13,3.9291623051842057,-1.1211147264480684e-07,-33.60108258291212,5.053795025274045e-08,2.554084415748469e-15,3.979006000665756,-1.0478293388832094e-09
-17.924138774570654,0.00012818024408309023,1.643017497320059e-08,3.0087408897331644,-0.0004435026852183982,-21.684241264594583,1.9557235804485444e-05,3.8248547231224746e-10,3.767062780042421,-1.2512934358707714e-05,-22.82675415833285,1.1046718786060248e-05,1.2202999593829637e-10,3.390260801086368,-8.43073465309132e-06,-26.505639523999132,1.755389529748917e-06,3.081392401152124e-12,3.504657144750198,-4.957572002738049e-07,-32.02756035503156,1.1099505595299338e-07,1.231990244600813e-14,3.5190018866951274,-4.812051302940639e-09
-17.917547610668343,0.00012860292878889653,1.653871329308199e-08,3.041689566878092,-0.00044602727461726674,-21.458496903333305,2.189374370443465e-05,4.793360133954718e-10,3.398720714185482,-1.5555299219346e-05,-22.59376385848007,1.2411564123064395e-05,1.5404692398093923e-10,2.8760438223605744,-1.055307671658976e-05,-26.270843709185026,1.974052774334586e-06,3.8968843558580765e-12,3.0463861198547155,-6.225137028221462e-07,-31.7917310087487,1.2488587613380558e-07,1.5596482057708233e-14,3.071252832797989,-6.056997809154294e-09
-17.960739651216826,0.0001258561498311094,1.5839770450310655e-08,3.0852178589046493,-0.000428058904556808,-22.423134160959254,1.3515342843806484e-05,1.8266449218563117e-10,2.9518046871453,-6.220117039102632e-06,-23.771202817684614,6.888884348504158e-06,4.745672756706555e-11,3.0775292033099726,-3.4212676267147677e-06,-27.48414229695435,1.0762033061019816e-06,1.1582135560648355e-12,3.151137962252847,-1.93640886849222e-07,-33.01241111924302,6.783377839572482e-08,4.601421491440304e-15,3.1168146205775695,-1.856098059599859e-09
-17.940532428582298,0.00012713392174181068,1.6163034057452843e-08,3.020832474057776,-0.0004363920180436235,-22.53160579774901,1.2802526114078825e-05,1.6390467490167026e-10,2.9178460066231593,-5.607901220333333e-06,-23.95454978712678,6.285438841691733e-06,3.950674143264711e-11,2.9285282176573633,-2.8742365029337433e-06,-27.708689261559808,9.619102813310611e-07,9.25271389330401e-13,2.9977126114278447,-1.5609922292423048e-07,-33.237832670449826,6.060330937179176e-08,3.672761106813102e-15,2.990146869106994,-1.4924895885663307e-09
-17.96345120355957,0.00012568529900223047,1.5796794385280076e-08,3.0480104530306176,-0.0004272325646784407,-22.222826420142976,1.4937311295699637e-05,2.23123268744636e-10,2.8805344202292424,-7.535407719116131e-06,-23.43369361364995,8.155265074601706e-06,6.650834843701836e-11,3.305652463781348,-4.721705390591801e-06,-27.040140584621323,1.3437178081450226e-06,1.8055775479260638e-12,3.3621934945341185,-2.965536230409503e-07,-32.54464870918086,8.570759807973375e-08,7.34579236859718e-15,3.37729694430373,-2.9168823703678017e-09
