LBP_delta,Std_delta,Var_delta,Kur_delta,SE_delta,LBP_theta,Std_theta,Var_theta,Kur_theta,SE_theta,LBP_alpha,Std_alpha,Var_alpha,Kur_alpha,SE_alpha,LBP_beta,Std_beta,Var_beta,Kur_beta,SE_beta,LBP_gamma,Std_gamma,Var_gamma,Kur_gamma,SE_gamma
-18.383744077113306,0.00010183776657660424,1.0370930701310932e-08,2.9736309937145005,-0.0002876913010096315,-22.65320201064552,1.204731578619123e-05,1.4513781765221242e-10,10.921877216569307,-4.889148551072745e-06,-23.983870247127435,6.193961625686583e-06,3.836516062047798e-11,38.20777642079284,-2.6455234421841768e-06,-27.61115902743758,1.0099804191239468e-06,1.0200604470137835e-12,66.88795031998693,-1.610117700215687e-07,-33.12706841261694,6.405432996720532e-08,4.102957187547617e-15,70.8517799674435,-1.574653170633893e-09
-18.40152116369876,0.00010093083515571884,1.018703348523089e-08,2.8612416345724494,-0.0002832089180233248,-22.701751392684603,1.1759186640928444e-05,1.3827847045619e-10,10.495882182888522,-4.6789867032957205e-06,-24.02470948374478,6.068767454228878e-06,3.682993841350765e-11,35.230411847372594,-2.557033214166254e-06,-27.669819718975834,9.807876301414914e-07,9.61944375438563e-13,69.21301939270023,-1.5300551908526428e-07,-33.18564090188792,6.220562218513816e-08,3.8695394314401534e-15,74.22632855828189,-1.4961369961522991e-09
-18.365246187044246,0.00010277746083654919,1.05632064560084e-08,2.977514322134434,-0.00029272003093656717,-22.4522897155959,1.3320406061287472e-05,1.77433217637584e-10,7.278796048922137,-5.967011473110955e-06,-23.820500822141348,6.721151448262549e-06,4.5173876790481755e-11,19.934847805822617,-3.1576386824714445e-06,-27.51299036756464,1.0607912597050997e-06,1.1252780966667323e-12,34.64525919043146,-1.8079568406897674e-07,-33.04282260722751,6.681011669828386e-08,4.463591693238309e-15,36.95052946538242,-1.7400550697877407e-09
-18.323131767781042,0.00010497929624888393,1.1020652640910937e-08,3.0476948069818635,-0.0003045785855565207,-22.3479147545051,1.4034069683710306e-05,1.969551118872367e-10,10.197975846292419,-6.5466866029988024e-06,-23.35566906840788,8.479707774039636e-06,7.190544393310822e-11,32.050892782225176,-4.80446836338304e-06,-27.069387098323027,1.3242111578132987e-06,1.7535351904772372e-12,24.499304029006527,-2.7656722259378865e-07,-32.59442762337717,8.360070848991901e-08,6.989078460016415e-15,23.493139669242602,-2.6874231623662e-09
-18.331362445726857,0.00010451404956423308,1.092318655631497e-08,2.898589848335051,-0.00030228234474583655,-22.77466705431064,1.1337644702782374e-05,1.2854218740652921e-10,15.25370663087072,-4.3444328758381435e-06,-24.168529259098438,5.64767795690417e-06,3.189626630490125e-11,36.66859131455792,-2.2121154551267392e-06,-27.83288139237002,9.039959204693618e-07,8.172086242252486e-13,75.58061033207802,-1.2899397285063e-07,-33.36684036987713,5.681757142983213e-08,3.228236423184076e-15,81.04875774997382,-1.238861881606875e-09
-18.353890263564903,0.00010336411389159824,1.0684140040595293e-08,2.8373472015603056,-0.0002961346045426401,-22.537312094444196,1.2764077731159381e-05,1.6292168032707883e-10,33.81027750286176,-5.362507066491315e-06,-23.7664777661374,6.905177989444611e-06,4.768148306591032e-11,87.32644285578655,-3.132231877557846e-06,-27.299162400943597,1.1804897058428016e-06,1.3935559456008241e-12,149.17450996921846,-2.0822904254719533e-07,-32.810910776080746,7.502417728119132e-08,5.628627176719623e-15,153.94269704608433,-2.065728320539115e-09
-18.29537192174106,0.00010641899622592312,1.132500275773304e-08,2.806902222943184,-0.0003131069830385868,-22.72809476345497,1.1604086448952637e-05,1.346548223147662e-10,11.233765509553786,-4.562602342591376e-06,-24.115391421326574,5.799740475084764e-06,3.363698957833645e-11,30.21604614023063,-2.3456226931989554e-06,-27.825112347291796,9.075143842341308e-07,8.235823575918536e-13,51.35985030287172,-1.3164143856377172e-07,-33.36440759224893,5.688672600348008e-08,3.2360995953950165e-15,54.686441421066796,-1.2564806061462722e-09
-18.229525002889446,0.00010997876784140839,1.2095329375914404e-08,2.8187996055072757,-0.0003331380699885131,-22.60305035509047,1.2353103742137966e-05,1.52599172064023e-10,11.249188017363887,-5.160416734427192e-06,-24.095325228317588,5.858224813962355e-06,3.4318797970924273e-11,27.24337685327496,-2.4082190773350216e-06,-27.800805921810326,9.186110329088743e-07,8.438462297819089e-13,47.1286323589495,-1.3587797766155302e-07,-33.336327203381146,5.7691060536231276e-08,3.3282584657951016e-15,49.568045441668914,-1.300453534709225e-09
-18.265274889256087,0.00010802487514532176,1.1669373650162355e-08,2.8235856158491957,-0.00032210910474610567,-22.576077606235025,1.2520429844032527e-05,1.5676116347934038e-10,9.601306148932503,-5.294024718170412e-06,-24.011212607628902,6.1098541947508475e-06,3.7330318281114525e-11,27.512656138669044,-2.6031274312000783e-06,-27.720872838146683,9.560681834601688e-07,9.140663714248271e-13,50.22371886181997,-1.462232350348793e-07,-33.258562774855136,5.997839689538348e-08,3.597408094140148e-15,53.06840379704882,-1.3983439423698587e-09
-18.238633084692523,0.00010947974878636854,1.1985815394326363e-08,2.9409923222639516,-0.0003299733558618966,-22.533136041326454,1.2792777254205283e-05,1.6365514987571207e-10,7.608220203625629,-5.536195154841596e-06,-24.03716802358228,6.031074755288534e-06,3.6373862703878646e-11,21.048340331218252,-2.5620911752511074e-06,-27.786360502598733,9.252699097938488e-07,8.56124405969917e-13,32.9069095154686,-1.391172896977554e-07,-33.32669737913459,5.79695077060255e-08,3.36046382367895e-15,34.67951869103626,-1.3234466102135013e-09
