LBP_delta,Std_delta,Var_delta,Kur_delta,SE_delta,LBP_theta,Std_theta,Var_theta,Kur_theta,SE_theta,LBP_alpha,Std_alpha,Var_alpha,Kur_alpha,SE_alpha,LBP_beta,Std_beta,Var_beta,Kur_beta,SE_beta,LBP_gamma,Std_gamma,Var_gamma,Kur_gamma,SE_gamma
-17.98000530069169,0.00012464360618697778,1.5536028563294403e-08,3.4457962095146386,-0.0004179196132114921,-22.155205602326657,1.5453180590285008e-05,2.3880079035596135e-10,3.2085811469901824,-8.022620055445914e-06,-23.426832863237006,8.18328879000581e-06,6.696621542063474e-11,4.853062350560103,-4.724553275160266e-06,-27.14280041852465,1.2764851798737707e-06,1.6294144144373727e-12,5.918255650841097,-2.6670048888126763e-07,-32.66800319520149,8.058110835630277e-08,6.493315023930209e-15,6.133443332976463,-2.57160381405991e-09
-17.98930062485136,0.0001240672815829215,1.539269035937593e-08,3.538365331291859,-0.00041379851501201215,-22.75587342266503,1.1440924831727155e-05,1.3089476100523104e-10,2.9324477090728673,-4.527672033369262e-06,-24.299084032026226,5.290795098356015e-06,2.7992512772788028e-11,3.096486230074637,-2.0641938513307586e-06,-28.113861315776877,7.855115425877709e-07,6.170283835386193e-13,3.3706867434500376,-1.0553541419977614e-07,-33.65547427964941,4.9182048811489875e-08,2.4188739252957726e-15,3.3449648023649625,-9.94493165340651e-10
-17.997244892386277,0.00012357472001862227,1.5270711427680887e-08,3.5885739255868683,-0.00041069509806595107,-22.600538032544097,1.2358601004710086e-05,1.5273501879362116e-10,3.1883856919404314,-5.239597540470341e-06,-24.176722699612807,5.624596430502711e-06,3.1636085006023835e-11,3.7655794030115954,-2.315731006180114e-06,-27.971182597110804,8.43596685658134e-07,7.116553680533885e-13,5.123527037523655,-1.2040058690474061e-07,-33.50855872978448,5.2930856301148165e-08,2.801675548772796e-15,5.450381734056525,-1.1403990533213856e-09
-17.969851362987686,0.00012527822204017036,1.5694632917546228e-08,3.5511052168949035,-0.00042154335882102495,-22.46881308381261,1.3211700036678945e-05,1.7454901785918242e-10,3.6480695696085896,-5.927809956637461e-06,-23.917886725757533,6.401722893812467e-06,4.098205600916267e-11,9.404693574016685,-2.912977054878196e-06,-27.711090397094974,9.607561492954324e-07,9.230523784089874e-13,10.377617326756297,-1.5254217105703258e-07,-33.254965338068494,6.008637763224002e-08,3.610372776964153e-15,10.74934279332471,-1.4417192599034303e-09
-17.987915882350027,0.00012415278225658816,1.5413913342051793e-08,3.5801551085276504,-0.0004143036614992897,-22.830659394810016,1.1025160099295063e-05,1.2155415521508793e-10,3.064787163646838,-4.214385836367986e-06,-24.737395927684453,4.249547835622585e-06,1.80586568072446e-11,3.7555139044259733,-1.3520218259414087e-06,-28.630441052545965,6.067065965970686e-07,3.680928943543981e-13,4.383246786724722,-6.391327283031095e-08,-34.18583500540485,3.77259547344257e-08,1.423247660623937e-15,4.495987195239526,-5.927886096001905e-10
-18.024309426715536,0.00012191414453970845,1.4863058638848922e-08,3.4972749367438998,-0.00040061375646830864,-22.745549466693934,1.150392641222506e-05,1.3234032289788935e-10,3.1847711896087567,-4.566324193392848e-06,-24.650298007043922,4.43870005262178e-06,1.970205815714459e-11,4.971306664349151,-1.4637421561182815e-06,-28.454439100916602,6.625170349004155e-07,4.389288215332383e-13,7.843969896940269,-7.507716503501811e-08,-33.99721084234856,4.145715189116939e-08,1.7186954429274896e-15,8.429811092434319,-7.057561013031279e-10
-18.009207287997782,0.00012283875280304983,1.5089359190208785e-08,3.5218251908392615,-0.0004062694356812559,-22.557830518878728,1.263650704879938e-05,1.5968131039435642e-10,3.0402741861817617,-5.466889117531793e-06,-24.637778417021376,4.46657227599027e-06,1.9950267896644896e-11,3.5666512114417337,-1.488836525305119e-06,-28.499634134449053,6.477136947481885e-07,4.1953303036434954e-13,5.660117346677299,-7.227560759028552e-08,-34.05331203342927,4.031041211709732e-08,1.6249293250502265e-15,6.047076321241824,-6.719573921906329e-10
-18.005122772481332,0.00012308807565369412,1.5150674368129528e-08,3.4687160834624184,-0.0004079781810813485,-22.628984495490904,1.2193542882015551e-05,1.4868248801555212e-10,2.9819773188574845,-5.111958231747445e-06,-24.64438983769653,4.4518316978647186e-06,1.9818805466113064e-11,3.6849150937591593,-1.4788078193280891e-06,-28.52442579289232,6.397342940256974e-07,4.092599669525574e-13,5.206102703167272,-7.064267003032958e-08,-34.07689995481512,3.9837785755100104e-08,1.5870491738692568e-15,5.616007640864366,-6.57188351370873e-10
-17.98065790846563,0.0001246025767844567,1.552580214132643e-08,3.37284462797659,-0.0004178857397129134,-22.12765647304112,1.5668222872062463e-05,2.454932079686213e-10,3.0376628006769306,-8.23763660211793e-06,-24.360071915706005,5.131892810624462e-06,2.6336323819739044e-11,4.08923373664523,-1.940182442777875e-06,-28.216863494208294,7.460809371427283e-07,5.566367647677716e-13,6.438652635461034,-9.474343680634065e-08,-33.76562407686189,4.654659194774479e-08,2.1665852219498603e-15,6.9152944592261,-8.86599830176696e-10
-17.97056008590823,0.00012523326403764365,1.5683370421522172e-08,3.2798677677066927,-0.000422452130519773,-22.20370320984676,1.508352764695744e-05,2.2751280627652945e-10,2.895586233363589,-7.672237301019226e-06,-24.31349818918258,5.252801026102849e-06,2.7591918619827146e-11,3.8453508030415073,-2.0298091199529245e-06,-28.16418977208615,7.659913997232673e-07,5.867428244500103e-13,5.641221122475927,-9.984371482961829e-08,-33.71075125545407,4.784134391574808e-08,2.2887941876648864e-15,6.051940061083479,-9.364373212033238e-10
-17.99644337411192,0.00012362438063764282,1.5282987488040794e-08,3.4498715591673133,-0.0004115306789013976,-22.30862849009249,1.429968199033688e-05,2.0448090502476496e-10,3.1993378107183097,-6.930400095062807e-06,-23.808429014534124,6.76184675000631e-06,4.5722571470570904e-11,5.669970476033848,-3.277791968725863e-06,-27.537435472187155,1.0479048733663855e-06,1.0981046236250204e-12,9.057377488109687,-1.8115124722917853e-07,-33.06118750930426,6.619944504856193e-08,4.38236652473757e-15,9.782219993449381,-1.7449921465349256e-09
