LBP_delta,Std_delta,Var_delta,Kur_delta,SE_delta,LBP_theta,Std_theta,Var_theta,Kur_theta,SE_theta,LBP_alpha,Std_alpha,Var_alpha,Kur_alpha,SE_alpha,LBP_beta,Std_beta,Var_beta,Kur_beta,SE_beta,LBP_gamma,Std_gamma,Var_gamma,Kur_gamma,SE_gamma
-17.90885696878623,0.00012916372912586828,1.6683268921700676e-08,2.7635946513074114,-0.0004507873098917095,-22.475208671900827,1.316445246795105e-05,1.7330280878094249e-10,9.664567913096526,-5.797638315178384e-06,-24.222006947661274,5.498673208964679e-06,3.023540705898592e-11,24.098607571764155,-2.137042790767535e-06,-27.876976034645203,8.84283579778952e-07,7.819574494666782e-13,44.55920376519986,-1.2602463509095637e-07,-33.439255794849416,5.47971337258218e-08,3.002725864565597e-15,40.59982066889741,-1.1781587098308253e-09
-17.777518876589497,0.00013793061060602785,1.902485334215168e-08,3.0101827685131486,-0.0005087868506129649,-22.119164397226577,1.5721228939029813e-05,2.471570393533885e-10,10.60404712118935,-8.125962243931265e-06,-23.50583665848508,7.866334026627805e-06,6.187921101848241e-11,20.97186146493892,-4.253219237191352e-06,-27.20372070390075,1.2381894676251964e-06,1.5331131577379674e-12,19.05055378765636,-2.4590082850393287e-07,-32.76006614676898,7.69559161186553e-08,5.922213025661511e-15,15.978827809341801,-2.316280952724517e-09
-17.902449953540867,0.0001295783194402501,1.679054086895949e-08,2.93471799832586,-0.00045259100076383855,-22.330057212324874,1.4157218195115567e-05,2.004268270241113e-10,3.920449775476564,-6.758055633988701e-06,-23.81303334822761,6.746296917390966e-06,4.551252209759885e-11,5.614391486341647,-3.2507618967314605e-06,-27.456558782465425,1.0911488697644482e-06,1.1906058559882328e-12,7.677542816348102,-1.962870775901696e-07,-32.974238422675796,6.914090955893794e-08,4.7804653746372354e-15,7.254896355251935,-1.9065158793598267e-09
-17.94131027883544,0.00012708235010779927,1.6149923708921265e-08,2.9687005804972157,-0.0004363955752392587,-22.462479050190108,1.324002745500918e-05,1.7529832700939688e-10,4.9808445357917055,-5.939565752166317e-06,-24.022893216606363,6.074281842512956e-06,3.689689990228259e-11,11.829052032719941,-2.630141199006771e-06,-27.716469531098955,9.581755906363883e-07,9.181004624913915e-13,15.343472526076445,-1.5086809471271146e-07,-33.25411524720893,6.0111921252954e-08,3.613443076721342e-15,15.188965108157774,-1.437156863085832e-09
-17.974870589214625,0.00012497005505567336,1.5617514660618034e-08,2.83926617662914,-0.0004233500553379852,-22.72755477041419,1.1608209311881071e-05,1.3475052342844244e-10,5.444043983443909,-4.614712777166076e-06,-24.528569449239505,4.717248450547653e-06,2.2252432944194234e-11,12.433364441547626,-1.6177342658839944e-06,-28.24267528698927,7.365139568971395e-07,5.424528087042814e-13,25.83858908243813,-9.016772131785581e-08,-33.76677286741152,4.6519857918691306e-08,2.164097180775226e-15,26.13311464766252,-8.678873032772591e-10
-17.986916268303197,0.0001242159156261084,1.5429593694832485e-08,2.896997805311361,-0.00041837267280836184,-22.833813863790375,1.1007125150196204e-05,1.211568040720818e-10,5.452396133026798,-4.165690707780103e-06,-24.354132416231366,5.14715433487731e-06,2.6493197747046286e-11,20.54625323940592,-1.8887065797751767e-06,-28.08628118659239,7.96418823233375e-07,6.342829420004339e-13,31.346915215032435,-1.0418860431739431e-07,-33.60985489267557,5.031676554761132e-08,2.5317768951732856e-15,31.56020095448645,-1.0052175139723813e-09
-17.900903061286698,0.00012967744372043564,1.6816239409866753e-08,3.2322527202785114,-0.00045205230341964297,-22.718016455529945,1.1661758685561997e-05,1.359966156402807e-10,3.729095860013584,-4.676269354204316e-06,-24.696972951901728,4.336308178602577e-06,1.8803568619815594e-11,5.1527203990223684,-1.4000259540781338e-06,-28.464605188355232,6.591578964466212e-07,4.3448913244793464e-13,10.886956574255752,-7.412176505323308e-08,-34.02292191213304,4.09276066103046e-08,1.6750689828478484e-15,10.50475477149308,-6.879895855996376e-10
-17.948713122983097,0.0001266110454911925,1.6030356840372813e-08,2.784191284443222,-0.0004342685457553075,-22.717319902084956,1.1665410203107875e-05,1.360817952067733e-10,5.295843949507525,-4.659955919353258e-06,-24.50426579112876,4.774920461397592e-06,2.2799865412673397e-11,9.542257188297283,-1.6643299507609584e-06,-28.240559532512968,7.372934943323929e-07,5.436016967848702e-13,15.020622633404054,-9.12225277962051e-08,-33.80050627540746,4.574180367569675e-08,2.092312603505985e-15,13.810385315199511,-8.483476983672875e-10
-17.90508539925841,0.000129406826363903,1.674612670957734e-08,2.9285257722197406,-0.00045151909155084145,-22.535742202128063,1.2774198290950539e-05,1.6318014197652367e-10,4.586660616344144,-5.548326419621576e-06,-24.45862741404637,4.885130988643188e-06,2.3864504776201973e-11,7.74744691864065,-1.7477284943415517e-06,-28.21588189418607,7.464471561090818e-07,5.571833568633358e-13,14.901785807106886,-9.359754939270607e-08,-33.77961574187664,4.6222093871203464e-08,2.136481961838345e-15,14.165829346852195,-8.665474406386974e-10
-17.897560993300086,0.00012989290725546156,1.687216735527594e-08,2.8339047088091083,-0.00045553218200194853,-22.564151959015376,1.2594051882994047e-05,1.586101428315459e-10,4.852775577650942,-5.39675574676928e-06,-24.452847774282876,4.8992708480028096e-06,2.4002854842090172e-11,8.651287501920455,-1.7529622953976643e-06,-28.206281584992247,7.500388567382998e-07,5.625582866172958e-13,15.998081099851587,-9.428625213188658e-08,-33.77149939753341,4.641005138883427e-08,2.1538928699142377e-15,14.84307149447472,-8.7238444764956e-10
