LBP_delta,Std_delta,Var_delta,Kur_delta,SE_delta,LBP_theta,Std_theta,Var_theta,Kur_theta,SE_theta,LBP_alpha,Std_alpha,Var_alpha,Kur_alpha,SE_alpha,LBP_beta,Std_beta,Var_beta,Kur_beta,SE_beta,LBP_gamma,Std_gamma,Var_gamma,Kur_gamma,SE_gamma
-17.950803580694913,0.00012648064385868753,1.5997353270908153e-08,2.840288098560453,-0.00043277988251427205,-22.72371773506918,1.1629041511164628e-05,1.3523460646839008e-10,3.2871941659832347,-4.66023462294086e-06,-24.50000128704251,4.7851138965389185e-06,2.2897315002849874e-11,3.3618766760906214,-1.7004122455934297e-06,-28.42754021744907,6.714877080311976e-07,4.5089574203699094e-13,3.3963260201021725,-7.799433028350263e-08,-33.99737977655968,4.145365041947919e-08,1.7184051331003876e-15,3.3444033535274063,-7.139663951544662e-10
-17.927282957941383,0.0001279774996750082,1.6378240423066722e-08,2.877460864112987,-0.0004422436055661606,-22.688862294344435,1.1832604690441485e-05,1.4001053376025786e-10,3.312865096951337,-4.820071213921341e-06,-24.42742009466815,4.96195827769987e-06,2.4621029949634253e-11,3.424232699786749,-1.8212478243403212e-06,-28.332642288845353,7.041171033873266e-07,4.957808952825592e-13,3.187088304386064,-8.551491208326268e-08,-33.89922402353807,4.3538857877494635e-08,1.8956321452766768e-15,3.1331322319243204,-7.857669439354022e-10
-17.939231171224904,0.00012721222732811112,1.6182950781779022e-08,2.8099833641979526,-0.00043770437412175085,-22.57637060468292,1.2514137819896494e-05,1.566036453753638e-10,3.4300338461449695,-5.360885898009928e-06,-24.488493440751167,4.81272566918468e-06,2.3162328366829124e-11,3.326843955680348,-1.7186457161618174e-06,-28.411855825215884,6.767743593634323e-07,4.580235334917842e-13,3.2237887367998677,-7.918378758142291e-08,-33.98126354909231,4.178903786069057e-08,1.7463236853222298e-15,3.215200042645621,-7.250787997659885e-10
-17.928298754955417,0.0001279125947455149,1.6361631894530322e-08,2.9310663715070286,-0.00044160503541883255,-22.738326403137666,1.1546059935630812e-05,1.33311500037179e-10,3.259548930495921,-4.597162237574947e-06,-24.559745952929003,4.644285368185315e-06,2.1569386581140205e-11,3.289348176565192,-1.60576783574831e-06,-28.47281125525155,6.5645898011142e-07,4.309383925689258e-13,3.1568910697865933,-7.470764848509802e-08,-34.04573237689101,4.046347202826401e-08,1.6372925685821037e-15,3.119524236518153,-6.814969489840594e-10
-17.949486960921682,0.00012656311343978938,1.6018221683572995e-08,2.9431857880570584,-0.0004330494060554599,-22.75046160520013,1.1463189784085537e-05,1.3140472002596302e-10,3.2886072890101903,-4.539742779961766e-06,-24.59617451987388,4.560457249688158e-06,2.079777032623328e-11,3.1588159428624603,-1.5520866651451373e-06,-28.566494845621072,6.264183330478468e-07,3.9239992797844316e-13,3.1117652057069862,-6.828884872245109e-08,-34.14165230696108,3.8568645828979885e-08,1.4875404410812875e-15,3.078855082304274,-6.211858010946299e-10
-17.953818236874067,0.0001262849775812095,1.594789556268659e-08,2.93985696614943,-0.0004310728757219448,-22.81653790183548,1.1103287160623446e-05,1.2328298577126545e-10,3.0671007210345604,-4.270045628792108e-06,-24.689424585877557,4.352708360733483e-06,1.894607007359916e-11,3.032907155581214,-1.4212049982315468e-06,-28.60288239257174,6.151244654155011e-07,3.783781079527059e-13,3.001516528157988,-6.597897371143858e-08,-34.18047502980058,3.7827196250823265e-08,1.4308967761982975e-15,2.988945683013061,-5.984673860488218e-10
-17.957953917353134,0.00012602870266695314,1.5883233895915284e-08,2.930133187414149,-0.0004295661699397719,-22.51126859810511,1.2918715167179367e-05,1.668932015707102e-10,3.47156919532859,-5.703099240273447e-06,-24.341328218788703,5.180214373289798e-06,2.683462095323822e-11,3.112657052791235,-1.982488464561989e-06,-28.284100205432267,7.214157884473437e-07,5.204407398211026e-13,3.071751847699894,-8.967773626882597e-08,-33.86678533550695,4.42507874847797e-08,1.9581321930231356e-15,3.0484512164756326,-8.111946111738457e-10
-17.94787792433669,0.00012666636104470295,1.604436702030704e-08,3.004281371286185,-0.0004334608187619626,-22.57335877457795,1.2537766957769072e-05,1.5719560028732592e-10,3.1526639631893776,-5.386157241933617e-06,-24.309563392154132,5.2631454138311425e-06,2.7700699647131787e-11,3.301611860094006,-2.0409496703037877e-06,-28.27029604497694,7.264123300701668e-07,5.27674873277969e-13,3.258445378539477,-9.080154973887329e-08,-33.85941610519544,4.441413542496607e-08,1.972615425547226e-15,3.2064059276292842,-8.163550785261021e-10
-17.94087222153056,0.0001271100353307309,1.6156961081779656e-08,2.905778395967932,-0.0004366158675993264,-22.3758714573404,1.3824175790843237e-05,1.911078362961362e-10,3.6507666356654886,-6.4871532798884325e-06,-23.95123279664031,6.2958709246367275e-06,3.963799069968612e-11,3.5895254087119035,-2.870934807655155e-06,-27.892214307346986,8.775715519050057e-07,7.701318287129601e-13,3.40745002825442,-1.3054020843923972e-07,-33.486551382936675,5.351650684045976e-08,2.8640165044049766e-15,3.344831312374747,-1.1711410271890715e-09
-17.957407790954907,0.00012606385470492062,1.5892095463063335e-08,2.917148126126743,-0.00042973167177728824,-22.36433690657444,1.3912253516286126e-05,1.9355079790141569e-10,3.3599104343110726,-6.564217998395229e-06,-23.881223067052098,6.520159975053387e-06,4.251248610028818e-11,3.9882166904383887,-3.065026553874768e-06,-27.840093932807427,9.007419677079309e-07,8.113360923903552e-13,3.506057400752985,-1.3721520797045553e-07,-33.43718255007418,5.4853969907956066e-08,3.00895801466295e-15,3.395222300458139,-1.2282629496198602e-09
-17.932670306354698,0.00012763176128971102,1.6289866489913778e-08,2.8090431933087583,-0.00044038270244353987,-22.44217996245878,1.337826968569603e-05,1.7897809978321333e-10,3.1225241436401756,-6.102023208045398e-06,-23.992597504775652,6.166995432396666e-06,3.803183266320135e-11,3.4989944150129815,-2.7606473876602706e-06,-27.855745495650016,8.937204815625085e-07,7.987362991643221e-13,3.1728674805106163,-1.3534622250404812e-07,-33.411704070821784,5.555723781208303e-08,3.0866066733083486e-15,3.1180210412413403,-1.260327801547544e-09
-17.912990145559913,0.00012889618238699392,1.6614225833941197e-08,2.8669042568824263,-0.00044824296425228344,-22.572503709252743,1.254405882292836e-05,1.5735341175308686e-10,3.0765756638469455,-5.392827043463919e-06,-24.091952179694047,5.868120926601834e-06,3.443484320922237e-11,3.704615937598872,-2.5081458934469963e-06,-27.99501786539455,8.336026709758361e-07,6.94893413058048e-13,3.4720600997704363,-1.1827666854668262e-07,-33.564747955169565,5.146447991582815e-08,2.6485926930066793e-15,3.34903849794186,-1.0860401853742113e-09
-17.895103113765387,0.00013005100122353338,1.6913262919243484e-08,2.8643413945040255,-0.0004562881712092898,-22.182229227292368,1.5242388328232718e-05,2.32330401948645e-10,3.249475473521503,-7.808863144129721e-06,-23.907757514768438,6.434227225805923e-06,4.139927999330219e-11,3.2407227676333914,-2.997737369943817e-06,-27.836872671317845,9.021939016680057e-07,8.139538362069391e-13,3.3930240125524724,-1.3769653123229266e-07,-33.42021950471906,5.532119353669995e-08,3.0604344543250123e-15,3.4000425671702494,-1.2487171884377022e-09
-17.91225320153779,0.0001289433683449327,1.662639224013699e-08,2.941560820288063,-0.0004482056734521482,-22.560645520033297,1.261814061881475e-05,1.5921747267618268e-10,3.197632722306818,-5.451617887049888e-06,-24.09956281956491,5.845833276242636e-06,3.417376669362571e-11,3.7807178551185627,-2.4892345452387202e-06,-28.011420117161236,8.267941652473372e-07,6.835885916870411e-13,3.6087249506003585,-1.1633562666925148e-07,-33.587900366028435,5.087215130970377e-08,2.587975778877395e-15,3.485766175518993,-1.0612482335154483e-09
-17.943417580838243,0.00012694843309513478,1.611590466530991e-08,2.9741226997502173,-0.0004351168226023255,-22.163190161520223,1.537717851876239e-05,2.3645761919788753e-10,3.981965786827206,-7.921272859077497e-06,-23.93607830928691,6.343758171196445e-06,4.024326773462167e-11,3.2036621482267855,-2.9202394677154092e-06,-27.88509282167414,8.807018687710082e-07,7.756357816567463e-13,3.2697946868512897,-1.3157009651153335e-07,-33.48068227404003,5.367378449229519e-08,2.8808751417253473e-15,3.23086095730799,-1.1786030431612611e-09
