LBP_delta,Std_delta,Var_delta,Kur_delta,SE_delta,LBP_theta,Std_theta,Var_theta,Kur_theta,SE_theta,LBP_alpha,Std_alpha,Var_alpha,Kur_alpha,SE_alpha,LBP_beta,Std_beta,Var_beta,Kur_beta,SE_beta,LBP_gamma,Std_gamma,Var_gamma,Kur_gamma,SE_gamma
-17.851641182865432,0.00013291128166748433,1.7665408794493354e-08,2.6841545226327193,-0.0004763888472157369,-22.96761226483945,1.0294731284778809e-05,1.0598149222580356e-10,2.982396046990778,-3.6990374692479875e-06,-24.814946619433112,4.087923804331606e-06,1.6711121030020986e-11,3.2707634727245583,-1.2583788459675208e-06,-28.66793383840362,5.95438844766654e-07,3.5454741785704754e-13,3.2431625214003352,-6.188876713574126e-08,-34.21973356935649,3.7091915494663597e-08,1.3758101950632656e-15,3.2596157386887286,-5.755295630768744e-10
-17.88125978393882,0.00013095760278831434,1.7149893728061913e-08,2.713804285106685,-0.00046313730914809414,-22.96200835900391,1.0323308434106313e-05,1.0657069702569053e-10,2.9150657039743546,-3.7191245679702275e-06,-24.783900331214856,4.1518764633391874e-06,1.723807816682992e-11,3.1730729739653865,-1.297578811718241e-06,-28.632867023381106,6.05971017139143e-07,3.6720087361264746e-13,3.111032642179292,-6.406042541776733e-08,-34.18140090967051,3.780968849871466e-08,1.4295725443698356e-15,3.097945068262768,-5.977062148244004e-10
-17.834477565118014,0.00013405411972197906,1.7970507014434696e-08,2.695988182571232,-0.0004840688088284962,-22.96958743921647,1.0284767974335892e-05,1.057764522859252e-10,3.0244069033215646,-3.690610540237375e-06,-24.871711285526782,3.973530093335078e-06,1.5788941402639473e-11,3.280009745687485,-1.1919821865507774e-06,-28.741479771070843,5.73940494832135e-07,3.29407691608156e-13,3.2330843453860814,-5.765833004705998e-08,-34.295954931003145,3.570491472381802e-08,1.274840935435117e-15,3.2499866122761647,-5.345646636803194e-10
-17.845420178677674,0.00013332389730043022,1.7775261591375662e-08,2.6914687557441903,-0.0004791586747294706,-22.939652854010134,1.043925507201343e-05,1.0897804645855812e-10,2.8881217218063298,-3.800941665791318e-06,-24.777349329697238,4.165498236067394e-06,1.7351375554680573e-11,3.1402288617818033,-1.3058901480547079e-06,-28.631627872496377,6.06346563377242e-07,3.6765615491939166e-13,3.099323644855683,-6.414175881596099e-08,-34.18164941712555,3.7804990774047404e-08,1.4292173274258093e-15,3.0857595182742488,-5.975555673139392e-10
-17.850288619065633,0.0001330000622683471,1.76890165633842e-08,2.720159814156299,-0.00047677258925661137,-22.98755810939086,1.0192658809354498e-05,1.0389029360391183e-10,2.98340165163193,-3.6280112189058916e-06,-24.84690442098958,4.023122262054456e-06,1.618551273543816e-11,3.2986710163092483,-1.2201794540677567e-06,-28.72205641478324,5.795415733460091e-07,3.3586843523636766e-13,3.2433596002433465,-5.87386059649432e-08,-34.27536031999272,3.607447862731695e-08,1.3013680082327473e-15,3.2682749118660523,-5.452609676281832e-10
-17.842694373994618,0.00013350623032660092,1.782391353601942e-08,2.734363427789473,-0.00048019088976666206,-22.977313262136636,1.0243556908826057e-05,1.0493045814435802e-10,3.032963464771952,-3.6604445476030625e-06,-24.79348473643162,4.132027373754083e-06,1.707365021745306e-11,3.1498204543497472,-1.2856601309033372e-06,-28.663833973225742,5.966606885016737e-07,3.560039772032914e-13,3.159758409183868,-6.216780722840993e-08,-34.21421128771718,3.7194473400412205e-08,1.383428851533971e-15,3.131515379067631,-5.788920153628438e-10
-17.84232839520573,0.00013353008372968804,1.78302832608575e-08,2.6922746874203245,-0.00048053021449912843,-22.933231073204567,1.0472680549959417e-05,1.0967703790149828e-10,2.9005112212660156,-3.822603555150279e-06,-24.760214983135004,4.201337847550295e-06,1.765123970925855e-11,3.230346991064432,-1.3265576118423105e-06,-28.624222106846084,6.085959268066619e-07,3.7038900212565973e-13,3.1449376352813383,-6.45812691127298e-08,-34.173454913904834,3.796020443920587e-08,1.440977121066305e-15,3.152167112332789,-6.021912749489788e-10
-17.847030225602598,0.00013321643809266565,1.774661937809702e-08,2.759604979097955,-0.00047802558722383025,-22.956213971823082,1.0353297926441959e-05,1.0719077795366737e-10,3.0700226258601537,-3.733952477973499e-06,-24.795554573676903,4.1277531921618275e-06,1.7038346415402157e-11,3.146638039080502,-1.2830430453498452e-06,-28.690394955438823,5.887891285413099e-07,3.466726378884351e-13,3.170457291201715,-6.059685217739106e-08,-34.2454523923544,3.6617989085979704e-08,1.3408771247009288e-15,3.1574956508415926,-5.615813963140354e-10
-17.85756501619887,0.00013251669273029498,1.7560673852175416e-08,2.720114037678367,-0.00047352649968535016,-22.83345475528894,1.1008833146893815e-05,1.2119440725614797e-10,2.900068752174263,-4.20410573284566e-06,-24.667820954808263,4.399979966100358e-06,1.9359823702084505e-11,3.166095329230704,-1.449713987697402e-06,-28.523912660248023,6.398983041858957e-07,4.09469839699985e-13,3.1291723478878417,-7.114771488275019e-08,-34.073711564331276,3.990134537284206e-08,1.5921173625628247e-15,3.1534677888974456,-6.633579132752658e-10
-17.847008662585583,0.00013321856304938744,1.774718554094362e-08,2.720070803547061,-0.0004783243204031357,-22.844334324237643,1.0949298145259967e-05,1.1988712987379335e-10,2.964007056384407,-4.157670484078359e-06,-24.697904166460784,4.334292209925249e-06,1.8786088961018695e-11,3.1845045089187938,-1.4089034892748995e-06,-28.577403229600662,6.230108121974189e-07,3.8814247211488754e-13,3.1124424064242873,-6.758841759273977e-08,-34.13012670184661,3.879155127982028e-08,1.5047844506949265e-15,3.1574661207563155,-6.281651045737244e-10
-17.855327680323565,0.0001326662950940471,1.7600345853980784e-08,2.6616995500857907,-0.0004747918225093568,-22.916802068163307,1.0559579038959743e-05,1.1150470948003797e-10,3.058610248333956,-3.8808478205640515e-06,-24.756200418374295,4.209779579329086e-06,1.7722244106536182e-11,3.3189089617422263,-1.3301516085363233e-06,-28.599539089983505,6.161534562674555e-07,3.7964508167033113e-13,3.280230911089885,-6.609785892175906e-08,-34.149177042497726,3.8423808718840154e-08,1.4763890764620167e-15,3.288257321039223,-6.161777983088921e-10
-17.869407981388196,0.00013173683404974604,1.735459344545033e-08,2.6681106237306937,-0.0004685073548273439,-22.81771301674083,1.1095073975115426e-05,1.2310066651328362e-10,2.864226091404982,-4.268383539259345e-06,-24.52282311615351,4.730822127532336e-06,2.2380678002349573e-11,3.155102303560203,-1.6663664904498993e-06,-28.344373807256495,6.999989103998265e-07,4.899984745609443e-13,3.061466931840438,-8.461153577854615e-08,-33.88626480730926,4.382188862894969e-08,1.9203579230080697e-15,3.048735832297176,-7.959655655067795e-10
-17.862272010717096,0.0001322063386069899,1.7478515967866063e-08,2.66653200679488,-0.00047170026958073,-22.841595733115884,1.096343901090549e-05,1.2019699494584437e-10,2.9734278038510986,-4.173007022655053e-06,-24.56709286613202,4.627256188356761e-06,2.1411499832685945e-11,3.247163679289974,-1.5948216211043247e-06,-28.380837414020263,6.873522508433651e-07,4.724531167394402e-13,3.23318755913256,-8.160606527069732e-08,-33.921977414426415,4.30463355156691e-08,1.8529870013275546e-15,3.2191602361663767,-7.68230108135806e-10
-17.84838072473479,0.00013312815020295057,1.772310437645937e-08,2.697067931816636,-0.00047781388557593783,-22.868890153033632,1.0813236484237523e-05,1.1692608326404548e-10,2.9373971987758876,-4.061542964077203e-06,-24.593699696833152,4.566105664008645e-06,2.0849320934891832e-11,3.0831705154184665,-1.5565903466127207e-06,-28.403608550871454,6.795706971669389e-07,4.618163324479593e-13,2.9902488028461307,-7.995687875340453e-08,-33.94465518933749,4.256099563435664e-08,1.8114383493877252e-15,3.0270811722232582,-7.523474413005785e-10
-17.861598286065494,0.00013225097256660932,1.7490319744814052e-08,2.6857998759013433,-0.0004719336333047217,-22.848157539031803,1.0927127996459483e-05,1.1940212625100862e-10,2.915423492322086,-4.145142103924629e-06,-24.655811260603837,4.4264807429200875e-06,1.9593731767442368e-11,3.270329980048994,-1.4653244489746784e-06,-28.492775660644284,6.499385138646016e-07,4.2242007180452695e-13,3.1459194557108634,-7.330044934013843e-08,-34.03888162351749,4.060231208234656e-08,1.6485477464322653e-15,3.1650549683102707,-6.860534905881127e-10
